2025-11-14,53,18,0.63,Fog
2025-01-19,55,45,2.74,Snow
2025-06-25,55,23,0.79,Rain
2025-03-24,71,10,2.24,Windy
2025-03-09,100,87,1.39,Sunny
2025-06-05,60,25,1.54,Fog
2025-04-23,99,41,0.74,Rain
2025-05-12,62,48,2.64,Fog
2025-10-09,53,40,2.01,Windy
2025-11-23,44,38,1.18,Sunny
2025-04-24,79,16,1.31,Windy
2025-09-15,87,11,2.57,Snow
2025-01-15,46,38,0.72,Rain
2025-01-05,69,13,0.59,Cloudy
2025-01-09,53,19,0.04,Rain
2025-12-22,74,52,0.51,Cloudy
2025-08-16,63,57,2.67,Fog
2025-05-04,59,47,2.04,Sunny
2025-02-13,93,65,2.05,Fog
2025-04-24,44,17,2.7,Snow
2025-06-23,90,84,2.14,Rain
2025-04-06,48,11,2.54,Rain
2025-07-01,80,60,2.25,Rain
2025-01-02,68,13,0.56,Sunny
2025-05-17,88,53,1.65,Sunny
2025-03-25,55,51,2.87,Fog
2025-05-23,76,48,1.89,Sunny
2025-08-15,88,43,1.29,Fog
2025-04-01,77,11,0.96,Snow
2025-11-20,52,33,0.21,Snow
2025-05-02,88,87,0.0,Windy
2025-02-11,80,29,2.1,Fog
2025-12-11,97,11,0.41,Fog
2025-06-21,93,27,1.83,Sunny
2025-03-06,96,44,2.15,Rain
2025-06-09,48,12,0.25,Rain
2025-01-22,64,59,0.02,Snow
2025-03-16,77,55,2.53,Fog
2025-02-26,65,50,2.05,Snow
2025-04-15,48,33,2.72,Windy
2025-08-24,58,14,1.62,Cloudy
2025-05-26,83,55,2.19,Snow
2025-01-27,97,13,0.97,Cloudy
2025-10-14,99,53,1.37,Windy
2025-10-16,84,20,1.84,Sunny
2025-02-04,82,39,0.68,Rain
2025-01-16,41,22,1.11,Cloudy
2025-09-24,91,43,1.55,Windy
2025-12-15,46,12,1.09,Windy
2025-04-24,48,43,1.33,Sunny
